token,frequency
"ki,",2191
bir,1912
bu,1185
və,1120
o,1033
nə,860
ey,768
Ey,718
ilə,717
hər,698
Bu,668
kimi,645
O,586
də,554
Bir,496
Hər,458
Nə,365
Mən,336
tək,333
mənə,332
üçün,325
mən,320
da,289
"Ki,",275
qədər,267
sənə,266
sən,266
gün,262
sənin,257
məni,252
çox,249
Çünki,243
onun,238
heç,232
Əgər,226
can,214
göz,212
"oldu,",212
-,208
mənim,207
Sən,207
ona,206
–,205
an,191
"var,",189
belə,188
onu,183
"et,",181
"Füzuli,",178
necə,176
əgər,175
gül,175
gözəl,173
xoş,170
öz,169
həm,158
olan,157
var,152
etdi.,149
ya,149
"etdi,",146
min,144
olar.,144
içində,139
qan,137
iki,135
könül,130
yüz,127
isə,126
zaman,125
bütün,125
"deyil,",124
kəs,124
ay,123
eşq,119
"idi,",119
dünyada,119
etmək,117
oldu,115
Kim,115
səni,114
oldu.,114
ki,114
"da,",113
kim,112
qara,111
elə,109
var.,109
Sənin,107
çünki,107
"olub,",107
olsun,107
Onun,105
"könül,",105
Dedi:,105
başqa,101
"də,",101
edər.,101
su,101
Eşq,100
gör,100
Bütün,96
olub,95
daha,94
olsa,94
dünya,93
qurban,93
et,93
Elə,92
olar,92
"olar,",91
"edib,",90
tərk,90
qəm,90
söz,90
"olsun,",89
"edər,",88
yox,88
"kimi,",88
gecə,88
gəl,88
Heç,87
səndən,86
niyə,85
Sənə,85
yenə,84
ağlayırsan.,84
gizli,82
yar,81
ondan,80
əhli,80
"yoxdur,",80
şirin,79
üzünü,79
Can,78
şərab,78
daim,77
etdi,76
Allah,75
Necə,75
"mən,",75
vaxt,74
"olmaz,",74
eşqin,74
edən,73
əl,73
səhər,73
Mənə,73
Məni,73
"mənəm,",73
mən.,73
Nəsimi,73
qızıl,72
Ta,71
neçə,71
indi,71
"ol,",71
"Xaqani,",71
yoxdur,70
özünü,70
"üçün,",70
Ona,70
Mənim,70
üzünün,69
baş,69
təzə,68
pərişan,68
yerə,68
Gör,68
"olsa,",68
.,68
deyil.,67
xəbər,67
Şah,67
dərman,66
edib,66
bizə,66
fələk,66
məndən,66
yaxşı,66
Səni,66
şah,66
dedi:,66
Göz,64
Ya,64
mey,64
yol,63
Gül,62
Günəş,62
yerdə,62
sonra,62
"o,",62
biri,62
'''Vidadi''',62
amma,61
dünyanın,61
Çox,61
"etmə,",61
"sən,",61
mənə.,61
üzünə,61
"O,",61
'''Vaqif''',61
Belə,60
günəş,60
idi.,60
Onu,59
yaşı,59
aşiq,58
"etdim,",58
deyil,58
gül.,58
bil,58
hicran,57
şad,57
dərdə,57
"yox,",57
edər,57
böyük,57
dərd,57
başına,57
"gəldi,",57
olsun.,56
sərv,56
günü,56
insan,56
onda,56
həmişə,56
od,56
"Nəsimi,",56
xəstə,55
həyat,55
Dünya,55
idi,55
"can,",55
yoxdur.,54
olmuş,54
üz,54
Üzünün,54
Gəl,54
"bax,",54
dünyanı,53
"gör,",53
İndi,53
"ilə,",53
nəzər,53
Səndən,53
ver,53
*,53
bilməz.,52
üstündə,52
saf,52
cənnət,52
ayrı,52
görən,52
ta,52
sirrini,51
cana,51
olmaz.,51
üzü,51
mənim.,51
nur,51
gah,50
səcdə,50
canımı,50
zülfünün,50
qərq,50
seyr,50
görə,50
bəla,50
Haqq,50
aşkar,49
Könül,49
aləmdə,49
yer,49
pak,49
ən,49
könlüm,48
lütf,48
qəbul,48
az,48
Allaha,48
heyran,47
parlaq,47
əbədi,47
Həm,47
zülm,47
yarın,47
sən.,47
ağ,47
görüb,46
üstünə,46
artıq,46
Biri,46
Gah,45
məst,45
"tək,",45
cür,45
bəyan,45
"gəl,",45
üzün,45
sultan,45
ol,45
Lakin,45
olduğunu,45
nədir?,45
gərək,45
şəkər,44
şey,44
göy,44
dəfə,44
nədir,44
çarə,43
qanlı,43
könlümü,43
Öz,43
suyu,43
Ay,43
rəngli,43
Səhər,43
özü,43
dil,43
Dünyada,43
ancaq,43
sübh,43
et.,42
etmə,42
"etsə,",42
torpaq,42
bəxş,42
Yüz,42
bax!,42
Yenə,41
al,41
mələk,41
sözü,41
canını,41
olur,41
azad,41
yolunda,41
Eşqin,41
dünyaya,41
