model,equation_id,base_word,subtract_word,add_word,rank,result_word,cosine_similarity
glove,glove_1,ələsgəri,ələsgərin,aşıq,1,ələsgər,0.9935386180877686
glove,glove_1,ələsgəri,ələsgərin,aşıq,2,camaat,0.9916121959686279
glove,glove_1,ələsgəri,ələsgərin,aşıq,3,gеtdi,0.9912707805633545
glove,glove_1,ələsgəri,ələsgərin,aşıq,4,görəndə,0.9905452728271484
glove,glove_1,ələsgəri,ələsgərin,aşıq,5,yazıq,0.9904992580413818
glove,glove_2,yar,eşq,can,1,eşqi,0.9709523916244507
glove,glove_2,yar,eşq,can,2,deyən,0.9706998467445374
glove,glove_2,yar,eşq,can,3,dеsin,0.9702786803245544
glove,glove_2,yar,eşq,can,4,lütf,0.9639707803726196
glove,glove_2,yar,eşq,can,5,hicran,0.9636209011077881
glove,glove_3,könül,zülfü,dil,1,sənəm,0.982154369354248
glove,glove_3,könül,zülfü,dil,2,ey,0.9817150235176086
glove,glove_3,könül,zülfü,dil,3,əşk,0.9778475165367126
glove,glove_3,könül,zülfü,dil,4,füzuli,0.9741361141204834
glove,glove_3,könül,zülfü,dil,5,xali,0.9722422957420349
glove,glove_4,can,eşqi,yar,1,eşq,0.9711621999740601
glove,glove_4,can,eşqi,yar,2,deyən,0.9650924205780029
glove,glove_4,can,eşqi,yar,3,zövq,0.9635816812515259
glove,glove_4,can,eşqi,yar,4,dеsin,0.9631898999214172
glove,glove_4,can,eşqi,yar,5,lütf,0.9604277014732361
glove,glove_5,durub,yoxdu,gözəl,1,od,0.8876737952232361
glove,glove_5,durub,yoxdu,gözəl,2,tərəfdən,0.8823229074478149
glove,glove_5,durub,yoxdu,gözəl,3,cavan,0.8817281126976013
glove,glove_5,durub,yoxdu,gözəl,4,görmüşəm,0.8799359798431396
glove,glove_5,durub,yoxdu,gözəl,5,görmədim,0.8778164982795715
