term_id,token,term_frequency,document_frequency
0,bir,3506,706
1,ki,2931,643
2,bu,2709,673
3,nə,1666,463
4,aşıq,1349,52
5,ey,1269,497
6,hər,1225,462
7,ilə,1222,452
8,kim,1173,498
9,mən,1059,370
10,o,999,197
11,i,997,346
12,də,968,183
13,ol,958,443
14,ələsgər,948,102
15,kimi,838,285
16,sən,800,292
17,var,798,269
18,oldu,718,282
19,da,644,99
20,çox,537,208
21,mənim,536,169
22,məni,488,257
23,gün,485,240
24,dedi,481,118
25,can,457,296
26,tək,427,213
27,idi,419,116
28,mənə,412,194
29,olur,354,170
30,onun,342,140
31,sənə,342,175
32,ona,340,155
33,gül,334,185
34,sənin,317,127
35,dеdi,310,14
36,həm,308,152
37,gör,306,191
38,əgər,303,154
39,öz,299,126
40,olsun,297,113
41,ta,296,199
42,gördü,293,87
43,söz,293,86
44,olmaz,292,167
45,gəl,290,145
46,qədər,288,99
47,ola,286,148
48,yox,277,145
49,ya,276,148
50,səni,265,156
51,olub,264,170
52,sonra,263,48
53,çün,261,168
54,eylə,259,162
55,onu,257,111
56,üçün,255,161
57,a,253,52
58,eylər,251,107
59,belə,250,99
60,əhli,249,161
61,ay,248,104
62,biri,248,66
63,heç,245,95
64,yar,245,153
65,gözəl,238,94
66,könül,236,179
67,olan,236,149
68,yüz,236,129
69,gəldi,234,102
70,elə,230,85
71,zaman,230,117
72,iki,223,114
73,min,223,149
74,xoş,223,135
75,ə,222,36
76,füzuli,220,219
77,yaxşı,220,68
78,eşq,213,133
79,etdi,204,109
80,ələsgərin,203,31
81,necə,200,118
82,aldı,199,59
83,gər,195,145
84,qan,188,133
85,mana,186,82
86,və,181,76
87,səndən,180,116
88,gəlib,179,62
89,deyil,178,102
90,qurban,177,106
91,gərək,174,81
92,olmuş,173,96
93,dil,171,139
94,qəm,171,113
95,sana,171,77
96,göz,170,119
97,yoxdur,170,85
98,olar,169,66
99,bil,168,98
100,amma,167,46
101,et,166,107
102,olsa,166,103
103,az,163,68
104,bax,162,64
105,düşdü,161,95
106,qıl,160,125
107,fələk,159,98
108,qara,158,87
109,su,158,72
110,içində,156,93
111,mənəm,154,54
112,yenə,154,81
113,edər,153,89
114,eylədi,153,94
115,ver,152,57
116,əl,152,98
117,könlüm,146,99
118,bilməz,145,75
119,molla,144,26
120,nədir,144,79
121,dəli,143,27
122,nəsimi,143,141
123,şol,143,72
124,indi,142,70
125,sözün,142,69
126,dünyada,141,72
127,şah,141,67
128,xəbər,140,68
129,baş,137,91
130,məndən,137,97
131,gecə,136,74
132,oğul,135,33
133,gördüm,134,90
134,üz,134,74
135,al,133,81
136,kişi,130,39
137,neçə,130,72
138,dəm,129,95
139,görək,129,23
140,ağlarsan,128,1
141,canım,128,87
142,başına,126,66
143,vaqif,126,52
144,şirin,126,96
145,bəy,125,22
146,edib,125,84
147,onda,125,73
148,qıldı,125,89
149,səhər,125,71
150,mey,124,57
151,ondan,124,89
152,sözü,123,63
153,yol,123,69
154,üzün,123,90
155,еlə,123,23
156,həcər,122,12
157,allah,120,52
158,bəs,119,68
159,çünki,119,91
160,elədi,118,23
161,verdi,117,70
162,gəlir,115,70
163,qaldı,115,69
164,tutub,115,71
165,xaqani,115,41
166,nağı,113,8
167,bizə,112,78
168,eşqin,112,97
169,əli,112,58
170,anın,111,79
171,еy,111,53
172,dünya,110,68
173,etmiş,110,70
174,kəs,110,75
175,sübh,110,45
176,ı,108,10
177,şad,108,65
178,l,107,12
179,olmuşam,107,52
180,getdi,106,60
181,məşədi,106,14
182,üstə,106,63
183,aşiq,105,81
184,alı,104,15
185,ağ,104,71
186,dəxi,104,74
187,yoxdu,104,74
188,biz,103,46
189,içrə,103,80
190,olma,103,81
191,ələsgərə,103,18
192,vardır,102,52
193,özü,102,52
194,etmə,101,74
195,günü,101,70
196,istər,101,71
197,gah,100,48
198,yana,100,62
199,ələsgəri,100,32
200,imiş,99,67
201,sazı,99,16
202,budur,98,67
203,oğlu,98,31
204,üzünü,98,50
205,abi,97,86
206,ah,97,76
207,özgə,97,68
208,gözüm,96,71
209,bеlə,95,31
210,həq,95,65
211,oldum,95,71
212,on,95,48
213,adam,94,32
214,isə,94,52
215,məhəmməd,94,26
216,qoy,94,65
217,xanım,94,12
218,idim,93,50
219,о,93,32
220,cümlə,91,74
221,dedilər,91,37
222,dərdi,91,77
223,hеç,90,29
224,nəzər,90,63
225,aləm,89,74
226,özünü,89,49
227,saldı,88,66
228,еlədi,88,8
229,başa,87,39
230,bilir,87,69
231,olmadı,87,51
232,yerdə,87,60
233,bənzər,86,49
234,yola,86,38
235,etdim,85,44
236,görə,85,39
237,hamı,85,40
238,zülfün,85,73
239,əcəb,85,69
240,aləmdə,84,75
241,başladı,84,18
242,daim,84,58
243,dövran,84,62
244,görüb,84,53
245,gündə,84,43
246,sabah,84,17
247,tez,84,46
248,cahan,83,67
249,onlar,83,36
250,an,82,46
251,anaxanım,82,5
252,ancaq,82,54
253,məgər,82,63
254,yetər,82,45
255,çıxdı,82,49
256,özün,82,58
257,ağa,81,32
258,günəş,81,48
259,lə,81,66
260,qoydu,81,34
261,üç,81,46
262,bunu,80,40
263,dərd,80,60
264,yerə,80,49
265,şahi,80,56
266,kimsə,79,70
267,əlindən,79,56
268,dost,78,58
269,insan,78,50
270,kalvayı,78,12
271,çəkər,78,51
272,dili,77,64
273,gərçi,77,69
274,badə,76,43
275,bundan,76,43
276,camaat,76,11
277,daha,76,39
278,dəfə,76,25
279,dərman,76,67
280,niyə,76,30
281,tamam,76,51
282,bütün,75,32
283,at,74,39
284,dörd,74,46
285,gələn,74,44
286,il,73,43
287,toy,73,14
288,bizim,72,41
289,hələ,72,32
290,mə,72,59
291,r,72,15
292,şair,72,16
293,canı,71,59
294,saqi,71,45
295,surəti,71,65
296,sərvi,71,63
297,tutdu,71,47
298,yer,71,52
299,bəşir,70,7
300,canan,70,43
301,düşər,70,44
302,od,70,45
303,zülfü,70,64
304,bəlkə,69,41
305,görən,69,36
306,pünhan,69,59
307,sənsən,69,56
308,vidadi,69,5
309,çəkdi,69,56
310,dərdə,68,60
311,hüseyn,68,8
312,verib,68,45
313,yoxsa,68,49
314,axır,67,52
315,cahanda,67,58
316,degil,67,48
317,görəndə,67,34
318,soruşdu,67,16
319,tut,67,46
320,xəstə,67,63
321,üzünə,67,42
322,şəm,67,51
323,cavab,66,28
324,cəm,66,63
325,durur,66,16
326,gözü,66,54
327,iş,66,32
328,nola,66,51
329,qulaq,66,26
330,sgəndər,66,12
331,adı,65,45
332,ala,65,56
333,canımı,65,51
334,dilləndi,65,14
335,nədən,65,29
336,sultan,65,46
337,verir,65,41
338,xǝtai,65,54
339,çəkib,65,47
340,bülbül,64,58
341,dünyanın,64,48
342,xaki,64,57
343,dünyanı,63,49
344,hicran,63,51
345,kərəm,63,49
346,nur,63,49
347,sözünü,63,33
348,yanına,63,19
349,yanında,63,43
350,yolunda,63,56
351,çıxar,63,33
352,ələsgərəm,63,55
353,de,62,32
354,gələndə,62,28
355,heyvan,62,49
356,rəvan,62,55
357,yəqin,62,48
358,alıb,61,47
359,götürdü,61,24
360,hanı,61,33
361,həmişə,61,40
362,mərd,61,29
363,pərişan,61,54
364,yazıq,61,43
365,üstünə,61,39
366,üzrə,61,45
367,söhbət,60,29
368,sənsiz,60,28
369,üzü,60,49
370,başqa,59,25
371,bircə,59,30
372,dedim,59,41
373,götürüb,59,21
374,gəlin,59,24
375,s,59,11
376,ayrı,58,42
377,bəli,58,34
378,haqq,58,43
379,həsrət,58,44
380,nuri,58,53
381,nədi,58,18
382,qoca,58,20
383,sizə,58,32
384,çeşmi,58,51
385,böylə,57,47
386,düz,57,32
387,edə,57,52
388,eylədim,57,34
389,görüm,57,29
390,gəlməz,57,25
391,hal,57,51
392,heyran,57,49
393,pəri,57,37
394,tər,57,49
395,tərk,57,50
396,yaman,57,46
397,zər,57,46
398,ş,57,12
399,aləmə,56,40
400,ana,56,42
401,başı,56,45
402,bəri,56,32
403,cami,56,50
404,deyir,56,27
405,dilbər,56,46
406,dur,56,45
407,eylərəm,56,41
408,qul,56,50
409,qız,56,21
410,sahibi,56,45
411,zar,56,48
412,d,55,7
413,eyləmə,55,36
414,ikən,55,46
415,könlümü,55,44
416,lütf,55,50
417,sağ,55,33
418,ələ,55,33
419,aləmi,54,47
420,beş,54,29
421,camalın,54,48
422,düşüb,54,47
423,edən,54,44
424,güli,54,52
425,hiç,54,51
426,keçdi,54,34
427,nеcə,54,26
428,saz,54,28
429,səba,54,47
430,tutar,54,28
431,açdı,53,40
432,döndü,53,25
433,edir,53,31
434,etmək,53,35
435,gördülər,53,16
436,görünür,53,29
437,gözün,53,50
438,gələ,53,22
439,ndi,53,34
440,pul,53,20
441,tərəf,53,34
442,xan,53,22
443,yеnə,53,13
444,zahid,53,49
445,üstündə,53,35
446,əmi,53,10
447,işi,52,38
448,mələk,52,48
449,səri,52,49
450,xəlq,52,40
451,çək,52,37
452,əyan,52,42
453,оl,52,24
454,açıb,51,36
455,bəla,51,47
456,bəndini,51,11
457,ha,51,27
458,hansı,51,33
459,hasil,51,45
460,hǝr,51,31
461,q,51,6
462,qafil,51,47
463,qoyub,51,42
464,vəli,51,49
465,ötrü,51,19
466,şəkər,51,44
467,ayinə,50,12
468,gözəllər,50,35
469,gəlsin,50,29
470,qalmadı,50,33
471,sazını,50,12
472,verər,50,32
473,yad,50,40
474,özünə,50,32
475,bilmədi,49,21
476,böyük,49,28
477,cavad,49,1
478,hüsnün,49,42
479,izhar,49,37
480,leyk,49,36
481,qəmi,49,44
482,sarı,49,23
483,siz,49,21
484,zülfi,49,46
485,şey,49,29
486,bildi,48,38
487,deyib,48,36
488,dust,48,29
489,gündən,48,38
490,gətir,48,27
491,gətirdi,48,30
492,ləbi,48,46
493,ləbin,48,45
494,ləhzə,48,37
495,məcnun,48,45
496,saçın,48,44
497,çay,48,20
498,ərz,48,36
499,alının,47,4
500,artıq,47,34
501,dəyər,47,17
502,gəldin,47,14
503,hamısı,47,20
504,odur,47,33
505,olaydı,47,16
506,olmasa,47,36
507,pişik,47,7
508,sənəm,47,36
509,tərif,47,17
510,tеz,47,12
511,burada,46,15
512,cana,46,39
513,dağlar,46,26
514,deyin,46,11
515,dövlət,46,36
516,düşmüşəm,46,20
517,dərdü,46,43
518,müdam,46,42
519,nеçə,46,21
520,qızıl,46,31
521,sirri,46,38
522,söylə,46,34
523,vеrdi,46,14
524,yan,46,40
525,əsədullah,46,2
526,əzizlərim,46,11
527,axşam,45,22
528,göy,45,35
529,iman,45,38
530,mülki,45,40
531,oğlan,45,16
532,qılır,45,43
533,rüxün,45,34
534,salıb,45,39
535,xəncər,45,12
536,yara,45,29
537,yarı,45,35
538,aşiqi,44,42
539,cam,44,31
540,düşmən,44,26
541,eyləyib,44,38
542,görmədim,44,23
543,istərəm,44,18
544,məst,44,29
545,qəza,44,33
546,sanma,44,40
547,səfa,44,35
548,tərki,44,41
549,vəfa,44,36
550,xar,44,32
551,yandı,44,35
552,bahar,43,36
553,birisi,43,29
554,bizi,43,33
555,cəfa,43,38
556,durub,43,37
557,dе,43,8
558,eşqə,43,38
559,g,43,8
560,get,43,23
561,olmaq,43,39
562,qaşın,43,41
563,rəhm,43,41
564,sal,43,35
565,səndə,43,38
566,vəslin,43,38
567,yavaş,43,8
568,yeri,43,34
569,əvvəl,43,35
570,ara,42,34
571,arif,42,38
572,buna,42,28
573,bəyan,42,34
574,cavan,42,31
575,fikir,42,19
576,gündüz,42,33
577,həqdən,42,32
578,istəməz,42,17
579,mah,42,39
580,məndə,42,33
581,nalə,42,33
