model,query_word,rank,similar_word,cosine_similarity
glove,aşıq,1,ələsgəri,0.9974933862686157
glove,aşıq,2,ələsgərin,0.9912238121032715
glove,aşıq,3,yanına,0.9911516904830933
glove,aşıq,4,gеtdi,0.9902563095092773
glove,aşıq,5,gəldilər,0.9893701672554016
glove,aşıq,6,camaat,0.9886387586593628
glove,aşıq,7,ələsgər,0.9866470098495483
glove,aşıq,8,görəndə,0.9826536774635315
glove,aşıq,9,yеnə,0.9808490872383118
glove,aşıq,10,ələsgərə,0.9794601202011108
glove,can,1,yar,0.9896645545959473
glove,can,2,eşq,0.9884575605392456
glove,can,3,eşqi,0.9813491702079773
glove,can,4,deyən,0.9800593256950378
glove,can,5,məni,0.9786815643310547
glove,can,6,lütf,0.9751890897750854
glove,can,7,zövq,0.9736713767051697
glove,can,8,yad,0.972591757774353
glove,can,9,gəl,0.9706860184669495
glove,can,10,sana,0.9705191850662231
glove,dil,1,könül,0.9899524450302124
glove,dil,2,zülfü,0.9873635768890381
glove,dil,3,et,0.9859427809715271
glove,dil,4,aşiq,0.9857131838798523
glove,dil,5,gözüm,0.9848949909210205
glove,dil,6,çün,0.9846609830856323
glove,dil,7,zahid,0.9838375449180603
glove,dil,8,rəhm,0.9832360744476318
glove,dil,9,dedilər,0.9827525019645691
glove,dil,10,gəl,0.9826250076293945
glove,yar,1,can,0.9896645545959473
glove,yar,2,eşqi,0.9878820776939392
glove,yar,3,eşq,0.9854076504707336
glove,yar,4,lütf,0.9843623042106628
glove,yar,5,məni,0.9831330180168152
glove,yar,6,deyən,0.9825509786605835
glove,yar,7,qəm,0.9780935049057007
glove,yar,8,səndən,0.9777129888534546
glove,yar,9,hicran,0.9749414920806885
glove,yar,10,zövq,0.9749287366867065
glove,gözəl,1,durub,0.9082722067832947
glove,gözəl,2,yoxdu,0.9048000574111938
glove,gözəl,3,dana,0.8991024494171143
glove,gözəl,4,görmüşəm,0.8989713788032532
glove,gözəl,5,ağ,0.8966673016548157
glove,gözəl,6,dərya,0.8925012350082397
glove,gözəl,7,alim,0.8910273313522339
glove,gözəl,8,olub,0.8906371593475342
glove,gözəl,9,uşaq,0.8876882791519165
glove,gözəl,10,cavan,0.8876632452011108
glove,könül,1,dil,0.9899524450302124
glove,könül,2,əşk,0.9898842573165894
glove,könül,3,sənəm,0.9860784411430359
glove,könül,4,xali,0.9826650619506836
glove,könül,5,zahid,0.9821205735206604
glove,könül,6,ey,0.9818316698074341
glove,könül,7,et,0.9799858331680298
glove,könül,8,nuri,0.9798966646194458
glove,könül,9,füzuli,0.979677677154541
glove,könül,10,xǝtai,0.9778932332992554
glove,gül,1,xar,0.9706079363822937
glove,gül,2,tazə,0.9680407047271729
glove,gül,3,naz,0.9677528142929077
glove,gül,4,qan,0.9669945240020752
glove,gül,5,ilə,0.9654302000999451
glove,gül,6,qədr,0.962419867515564
glove,gül,7,dili,0.9593237638473511
glove,gül,8,yar,0.9591383934020996
glove,gül,9,qalmadı,0.9585515260696411
glove,gül,10,ah,0.9583072662353516
glove,göz,1,yaşı,0.9804509282112122
glove,göz,2,olan,0.9801183938980103
glove,göz,3,görüb,0.977383017539978
glove,göz,4,gər,0.9731622934341431
glove,göz,5,üzrə,0.9704874753952026
glove,göz,6,səni,0.9702060222625732
glove,göz,7,lütf,0.9699410796165466
glove,göz,8,aşiqə,0.9694237112998962
glove,göz,9,eşq,0.9674623012542725
glove,göz,10,aləmi,0.9645531177520752
glove,dərd,1,aləm,0.9899189472198486
glove,dərd,2,könlümü,0.9897966384887695
glove,dərd,3,dərdi,0.9876135587692261
glove,dərd,4,hal,0.9873032569885254
glove,dərd,5,fələk,0.9867763519287109
glove,dərd,6,deyil,0.9864716529846191
glove,dərd,7,cəm,0.9860478639602661
glove,dərd,8,hikmət,0.9857110977172852
glove,dərd,9,ana,0.9846668243408203
glove,dərd,10,dünya,0.9840494990348816
glove,sultan,1,artıq,0.9307527542114258
glove,sultan,2,qəbul,0.930576741695404
glove,sultan,3,onlar,0.9284284114837646
glove,sultan,4,bizim,0.9283218383789062
glove,sultan,5,geysin,0.9276288747787476
glove,sultan,6,əyan,0.9265632629394531
glove,sultan,7,yer,0.9259262084960938
glove,sultan,8,günü,0.9256775975227356
glove,sultan,9,getdi,0.92559814453125
glove,sultan,10,qız,0.9245635867118835
